district_name,city_name,city_id,max_lat,min_lat,max_lng,min_lng
鄂托克前旗,鄂尔多斯市,150000,38.837239,37.621727,108.540627,106.482468
鄂托克旗,鄂尔多斯市,150000,40.19375,38.284982,108.902097,106.719493
杭锦旗,鄂尔多斯市,150000,40.874305,39.375272,109.275551,106.920696
乌审旗,鄂尔多斯市,150000,39.399156,37.652022,109.683777,108.29491
伊金霍洛旗,鄂尔多斯市,150000,39.802973,38.915457,110.438134,109.009407
海拉尔区,呼伦贝尔市,150000,49.458822,49.097886,120.580295,119.523238
扎赉诺尔区,呼伦贝尔市,150000,49.520271,49.315416,117.771437,117.490892
阿荣旗,呼伦贝尔市,150000,49.29417,47.950207,124.26388,122.052018
莫力达瓦达斡尔族自治旗,呼伦贝尔市,150000,49.90094,48.085561,125.277409,123.557723
鄂伦春自治旗,呼伦贝尔市,150000,51.661355,48.825812,126.075585,121.736939
鄂温克族自治旗,呼伦贝尔市,150000,49.294297,47.551013,121.168296,118.811849
陈巴尔虎旗,呼伦贝尔市,150000,50.210892,48.784953,121.057441,118.377774
新巴尔虎左旗,呼伦贝尔市,150000,49.783944,47.333783,120.225421,117.532289
新巴尔虎右旗,呼伦贝尔市,150000,49.855545,47.641229,117.82011,115.529317
满洲里市,呼伦贝尔市,150000,49.636393,49.347903,117.897797,117.223794
牙克石市,呼伦贝尔市,150000,50.873022,47.662951,122.498501,120.465246
扎兰屯市,呼伦贝尔市,150000,48.609359,47.09537,123.297552,120.488823
额尔古纳市,呼伦贝尔市,150000,53.337178,49.97711,121.817992,119.125698
根河市,呼伦贝尔市,150000,52.515041,50.410118,122.885764,120.185962
临河区,巴彦淖尔市,150000,41.278552,40.556933,107.73112,107.109778
五原县,巴彦淖尔市,150000,41.280321,40.757327,108.631131,107.598132
磴口县,巴彦淖尔市,150000,40.954987,40.168057,107.173246,106.157684
乌拉特前旗,巴彦淖尔市,150000,41.269452,40.455906,109.903395,108.174958
乌拉特中旗,巴彦淖尔市,150000,42.460344,41.130963,109.703639,107.266847
乌拉特后旗,巴彦淖尔市,150000,42.364093,40.692658,107.630327,105.201607
杭锦后旗,巴彦淖尔市,150000,41.222641,40.460534,107.392662,106.59334
集宁区,乌兰察布市,150000,41.227288,40.92187,113.328741,113.013656
卓资县,乌兰察布市,150000,41.260349,40.642408,112.958375,111.859759
化德县,乌兰察布市,150000,42.29858,41.615961,114.809227,113.565975
商都县,乌兰察布市,150000,42.143683,41.296987,114.259316,113.131635
兴和县,乌兰察布市,150000,41.447639,40.456467,114.134744,113.358122
凉城县,乌兰察布市,150000,40.841589,40.167384,113.028577,112.045227
察哈尔右翼前旗,乌兰察布市,150000,41.205386,40.684915,113.669359,112.813423
察哈尔右翼中旗,乌兰察布市,150000,41.833481,41.019814,112.865305,111.931797
察哈尔右翼后旗,乌兰察布市,150000,41.988575,41.067801,113.523231,112.711209
四子王旗,乌兰察布市,150000,43.380246,41.192634,113.002102,110.339884
丰镇市,乌兰察布市,150000,40.80265,40.318187,113.794957,112.803441
乌兰浩特市,兴安盟,150000,46.297905,45.700619,122.828527,121.878415
阿尔山市,兴安盟,150000,47.658137,46.662325,121.406145,119.481296
科尔沁右翼前旗,兴安盟,150000,47.028991,45.817708,122.820746,119.835773
科尔沁右翼中旗,兴安盟,150000,46.213838,44.255427,122.294457,119.565525
扎赉特旗,兴安盟,150000,47.350441,46.073203,123.631749,121.29444
突泉县,兴安盟,150000,46.091368,45.197962,122.17984,120.737299
二连浩特市,锡林郭勒盟,150000,43.801254,42.964476,112.432639,111.343108
锡林浩特市,锡林郭勒盟,150000,44.890537,43.03431,117.054309,115.323268
阿巴嘎旗,锡林郭勒盟,150000,45.438313,43.088438,116.183125,113.49989
