fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c1111027374143,5.9万(26套),26,26套,套,59229,5.9万,元,"116.448256,39.87404;116.449549,39.874054;116.449594,39.871797;116.448265,39.871839",芳城东里,,1111027374143,resblock,1111027374143,芳城东里,116.448786,39.873147,30002,False
c1111027376735,6.8万(26套),26,26套,套,67794,6.8万,元,"116.419891,39.868275;116.417663,39.868289;116.417524,39.868552;116.417483,39.869178;116.415583,39.869147;116.415588,39.868548;116.417546,39.868538;116.417677,39.868336;116.419392,39.868282;116.419455,39.867358;116.417914,39.867385;116.417533,39.867361;116.417534,39.867021;116.416995,39.866986;116.416986,39.86682;116.416374,39.866804;116.416419,39.865783;116.415952,39.865769;116.416028,39.865374;116.417272,39.86535;116.417389,39.866364;116.419743,39.86642;116.419702,39.867372;116.4199,39.867565",定安里,,1111027376735,resblock,1111027376735,定安里,116.418443,39.866651,30002,False
c1111027378724,5.5万(26套),26,26套,套,54928,5.5万,元,"116.428083,39.869549;116.427625,39.869535;116.427679,39.86842;116.427809,39.868403;116.427823,39.86725;116.42749,39.867154;116.427931,39.864942;116.42838,39.864883;116.429274,39.865014;116.429314,39.865212;116.428375,39.86517;116.428366,39.864886",蒲黄榆路,,1111027378724,resblock,1111027378724,蒲黄榆路,116.427993,39.867957,30002,False
c1111027379289,16万(26套),26,26套,套,160022,16万,元,"116.383218,39.898753;116.386075,39.898726;116.386021,39.896996;116.38329,39.897245",四合上院,,1111027379289,resblock,1111027379289,四合上院,116.384821,39.897652,30002,False
c1111027381039,5.2万(26套),26,26套,套,52038,5.2万,元,"116.400438,39.863793;116.398363,39.863775;116.398358,39.864031;116.399657,39.864072;116.399719,39.865167;116.399077,39.865243;116.397402,39.865125;116.397698,39.865513;116.397685,39.867022;116.39905,39.867012;116.399077,39.865243;116.399719,39.865167;116.40046,39.865153",西罗园二区,,1111027381039,resblock,1111027381039,西罗园二区,116.39854,39.865338,30002,False
c1111047090108,12.6万(26套),26,26套,套,126342,12.6万,元,"116.387547,39.907935;116.387619,39.907659;116.388899,39.907721;116.388881,39.908001;116.387543,39.907924;116.387557,39.907924;116.387557,39.907924",新壁街,,1111047090108,resblock,1111047090108,新壁街,116.388124,39.907788,30002,False
c1111027373771,5.2万(25套),25,25套,套,52449,5.2万,元,"116.390203,39.861749;116.390858,39.861798;116.391658,39.861791;116.391846,39.861715;116.391793,39.85988;116.389843,39.859797;116.389915,39.860309;116.38793,39.860455;116.388002,39.860905;116.389951,39.860843",东丽温泉,,1111027373771,resblock,1111027373771,东丽温泉,116.390154,39.860376,30002,False
c1111027375182,8万(25套),25,25套,套,79792,8万,元,"116.431349,39.968394;116.428116,39.968367;116.428062,39.969355;116.428322,39.969383;116.428268,39.971394;116.431385,39.971401",和平街十区,,1111027375182,resblock,1111027375182,和平街十区,116.429743,39.96941,30002,False
c1111027377501,8.2万(25套),25,25套,套,81697,8.2万,元,"116.414084,39.894574;116.41226,39.894525;116.412045,39.896145;116.412144,39.896844;116.412386,39.897134;116.413994,39.897183",金鱼池西区,,1111027377501,resblock,1111027377501,金鱼池西区,116.413838,39.895714,30002,False
c1111027379269,9.2万(25套),25,25套,套,92188,9.2万,元,"116.375138,39.886225;116.376279,39.886242;116.376292,39.887211;116.377289,39.887249;116.377357,39.888709;116.376072,39.888682;116.376023,39.88828;116.374936,39.888308;116.374985,39.887246;116.374751,39.886451;116.375116,39.886426",双槐里,,1111027379269,resblock,1111027379269,双槐里,116.377179,39.88737,30002,False
c1111100554096,7.1万(25套),25,25套,套,71038,7.1万,元,"116.397671,39.873671;116.397635,39.873937;116.398848,39.873979;116.401137,39.874205;116.401184,39.873854;116.40067,39.873803;116.398612,39.873506;116.397995,39.873432;116.397765,39.87346;116.397707,39.873543",百荣嘉园,,1111100554096,resblock,1111100554096,百荣嘉园,116.399008,39.873692,30002,False
c1111027374074,9.9万(24套),24,24套,套,98656,9.9万,元,"116.435373,39.948337;116.435378,39.94769;116.436779,39.947649;116.436761,39.947891;116.435422,39.94788;116.435427,39.948534;116.435665,39.948648;116.435665,39.949391;116.436424,39.949402;116.436379,39.94972;116.436258,39.949751;116.436226,39.949516;116.435243,39.950428;116.434681,39.950473;116.434636,39.950656;116.435238,39.950656;116.435243,39.950408;116.436137,39.949536;116.435463,39.949453",民安小区东直门...,,1111027374074,resblock,1111027374074,民安小区东直门北中街,116.435512,39.949001,30002,False
c1111027374220,9.4万(24套),24,24套,套,93527,9.4万,元,"116.437601,39.900993;116.440067,39.901103;116.44009,39.899992;116.437638,39.899978",富贵园三区,,1111027374220,resblock,1111027374220,富贵园三区,116.438785,39.900278,30002,False
c1111027374222,12.4万(24套),24,24套,套,124236,12.4万,元,"116.440089,39.901228;116.439995,39.902034;116.440219,39.902145;116.442174,39.902074;116.441985,39.903493;116.438279,39.903425;116.438297,39.901114",富贵园一区,,1111027374222,resblock,1111027374222,富贵园一区,116.440069,39.902423,30002,False
c1111027374958,9.7万(24套),24,24套,套,96781,9.7万,元,"116.391488,39.891533;116.395623,39.891402;116.395623,39.891188;116.395232,39.891156;116.394419,39.891018;116.394388,39.890738;116.393431,39.890665;116.393252,39.889696;116.393903,39.889793;116.393925,39.89025;116.394541,39.89025;116.394473,39.88981;116.39393,39.889804;116.393301,39.889693;116.393359,39.890323;116.39326,39.889717;116.391518,39.889703;116.391504,39.889772",虎坊路小区,,1111027374958,resblock,1111027374958,虎坊路小区,116.392587,39.890547,30002,False
c1111027375184,7.2万(24套),24,24套,套,71579,7.2万,元,"116.431771,39.968129;116.431736,39.965616;116.434421,39.96561;116.434416,39.966049;116.435162,39.966045;116.435153,39.965693;116.437144,39.965609;116.437072,39.966431;116.437916,39.966452;116.437934,39.96574;116.438176,39.965738;116.438108,39.966719;116.437246,39.96674;116.437268,39.966612;116.436882,39.966405;116.436011,39.966405;116.436011,39.966857;116.435162,39.966736;116.435198,39.967777;116.434264,39.967808;116.434228,39.968102",和平街十四区,,1111027375184,resblock,1111027375184,和平街十四区,116.43361204824,39.967064652144,30002,False
c1111027375204,12万(24套),24,24套,套,119937,12万,元,"116.425268,39.962788;116.426031,39.962802;116.426067,39.962733;116.427347,39.9627;116.427441,39.961414;116.425352,39.961407",和平里三区,,1111027375204,resblock,1111027375204,和平里三区,116.427002,39.962219,30002,False
c1111027375280,13.2万(24套),24,24套,套,131533,13.2万,元,"116.447465,39.943043;116.448596,39.943037;116.449971,39.94302;116.45033,39.943818;116.450698,39.943766;116.451053,39.944555;116.451156,39.945595;116.45112,39.946045;116.449957,39.946131;116.449737,39.946007;116.449387,39.946024;116.449679,39.946155;116.451116,39.946041;116.451165,39.945599;116.451053,39.944551;116.450698,39.943763;116.45033,39.943811;116.449828,39.944149;116.449801,39.944737;116.447905,39.944813;116.447483,39.944626",海晟名苑南区,,1111027375280,resblock,1111027375280,海晟名苑南区,116.447783,39.94387,30002,False
c1111027381049,5.3万(24套),24,24套,套,52664,5.3万,元,"116.400708,39.863664;116.402945,39.863684;116.402954,39.86437;116.401885,39.86437;116.402074,39.8652;116.401912,39.8652;116.401831,39.867076;116.401804,39.867969;116.4014,39.868281;116.401373,39.869008;116.400663,39.86898;116.400663,39.868759;116.399558,39.8688;116.399531,39.869146;116.398933,39.869182;116.398825,39.867167;116.39999,39.867146;116.400618,39.866883;116.40069,39.865692",西罗园一区,,1111027381049,resblock,1111027381049,西罗园一区,116.400929,39.866858,30002,False
c1111027381288,10.8万(24套),24,24套,套,108276,10.8万,元,"116.381907,39.905665;116.381964,39.905237;116.385396,39.905452;116.388841,39.905683;116.388806,39.906032",宣武门外东大街,,1111027381288,resblock,1111027381288,宣武门外东大街,116.385336,39.905491,30002,False
c1111027381477,9.3万(24套),24,24套,套,92521,9.3万,元,"116.443342,39.938873;116.443315,39.937822;116.445174,39.937781;116.445201,39.937303;116.446459,39.937338;116.446387,39.938991",新中西街,,1111027381477,resblock,1111027381477,新中西街,116.444278,39.938213,30002,False
c1111027381788,11.2万(24套),24,24套,套,112360,11.2万,元,"116.381502,39.88108;116.38337,39.881039;116.383384,39.881174;116.383015,39.881174;116.382674,39.88116;116.382669,39.881426;116.382634,39.881862;116.382512,39.881873;116.382449,39.881437;116.381794,39.881506;116.381789,39.881845;116.381461,39.881831",姚家井二巷,,1111027381788,resblock,1111027381788,姚家井二巷,116.381753,39.88118,30002,False
c1111027382286,9.2万(24套),24,24套,套,91939,9.2万,元,"116.448067,39.881045;116.447312,39.881076;116.447249,39.880813;116.446423,39.88084;116.446311,39.878591;116.447182,39.878508;116.447272,39.878885;116.447865,39.878858",左安漪园,,1111027382286,resblock,1111027382286,左安漪园,116.4471,39.879796,30002,False
c1111027382363,7.9万(24套),24,24套,套,78665,7.9万,元,"116.448657,39.869785;116.449439,39.86992;116.450202,39.869968;116.451047,39.869923;116.45168,39.869903;116.451648,39.868397;116.450117,39.868407;116.448953,39.868449;116.448477,39.86856;116.44828,39.869075;116.448064,39.869345;116.447916,39.869432;116.447934,39.869802",紫芳园二区香园,,1111027382363,resblock,1111027382363,紫芳园二区香园,116.450093,39.869164,30002,False
c1111027374065,9.4万(23套),23,23套,套,93990,9.4万,元,"116.445079,39.94443;116.443876,39.944447;116.443817,39.942816;116.444338,39.94211;116.444154,39.942086;116.443611,39.941889;116.443579,39.941363;116.443611,39.937719;116.443395,39.937692;116.443058,39.936678;116.443009,39.934687;116.44331,39.934566;116.443013,39.934497;116.443009,39.934687;116.443058,39.936678;116.443372,39.936644;116.443611,39.937719;116.443579,39.941363;116.444307,39.94137;116.444316,39.941778;116.444338,39.94211;116.443817,39.942816;116.443161,39.942833;116.443085,39.944779;116.444989,39.944714",东中街,,1111027374065,resblock,1111027374065,东中街,116.443651,39.943051,30002,False
c1111027374440,7.1万(23套),23,23套,套,71050,7.1万,元,"116.451543,39.866253;116.451489,39.865017;116.448449,39.865038;116.448485,39.866308",方庄6号,,1111027374440,resblock,1111027374440,方庄6号,116.450009,39.865693,30002,False
c1111027374723,8.2万(23套),23,23套,套,81601,8.2万,元,"116.450313,39.934184;116.448741,39.934198;116.448678,39.933756;116.448678,39.93341;116.448786,39.933334;116.448821,39.932801;116.450295,39.932787",工体西里,,1111027374723,resblock,1111027374723,工体西里,116.44963,39.932898,30002,False
c1111027374751,8.3万(23套),23,23套,套,83396,8.3万,元,"116.439725,39.973192;116.438769,39.972933;116.438885,39.971074;116.439245,39.970645;116.439932,39.970925",光熙家园二期,,1111027374751,resblock,1111027374751,光熙家园二期,116.439357,39.972743,30002,False
c1111027378024,13.9万(23套),23,23套,套,138616,13.9万,元,"116.393723,39.963066;116.392133,39.962644;116.392637,39.960656;116.392341,39.960628;116.392309,39.960227;116.391411,39.960186;116.391456,39.959391;116.39195,39.959398;116.39195,39.958935;116.39305,39.958938;116.393067,39.957777;116.393786,39.957788",六铺炕三区,,1111027378024,resblock,1111027378024,六铺炕三区,116.393064,39.960653,30002,False
c1111027378283,6.7万(23套),23,23套,套,67449,6.7万,元,"116.450187,39.91084;116.449508,39.910993;116.449494,39.911128;116.450038,39.910931;116.450078,39.911287;116.450209,39.911267",美华世纪,,1111027378283,resblock,1111027378283,美华世纪,116.450152,39.910913,30002,False
c1111027373924,11.5万(22套),22,22套,套,114904,11.5万,元,"116.424163,39.965395;116.424261,39.963933;116.42268,39.963878;116.422663,39.963756;116.422393,39.963777;116.422366,39.964482;116.421791,39.964461;116.421738,39.964212;116.420588,39.964185;116.420282,39.965374",地坛北里,,1111027373924,resblock,1111027373924,地坛北里,116.423426,39.964365,30002,False
c1111027374412,6.8万(22套),22,22套,套,67754,6.8万,元,"116.438634,39.867545;116.437314,39.869366;116.437243,39.871442;116.438285,39.87183;116.440351,39.871775;116.44044,39.869338;116.440961,39.868175;116.440224,39.8677;116.440004,39.867648",芳星园一区,,1111027374412,resblock,1111027374412,芳星园一区,116.439722,39.868674,30002,False
